Gene	Accession	Chromosome	End	Start	Strand
Zfp551	ENSMUSG00000034071	7	12422751	12415153	-
Vmn2r53	ENSMUSG00000096002	7	12608788	12562851	-
Vmn2r54	ENSMUSG00000096593	7	12640319	12613839	-
Vmn2r55	ENSMUSG00000091045	7	12685003	12651706	-
Vmn2r56	ENSMUSG00000090762	7	12735004	12688721	-
Zscan18	ENSMUSG00000070822	7	12803635	12768090	-
Zfp329	ENSMUSG00000057894	7	12818858	12804977	-
Gm31152	ENSMUSG00000110320	7	12868583	12860884	-
1810019N24Rik	ENSMUSG00000097115	7	12961768	12948592	-
Slc27a5	ENSMUSG00000030382	7	12998192	12988346	-
Zbtb45	ENSMUSG00000049600	7	13010034	13003898	-
Chmp2a	ENSMUSG00000033916	7	13034807	13032010	-
Ube2m	ENSMUSG00000005575	7	13038275	13035120	-
Mzf1	ENSMUSG00000030380	7	13054764	13042303	-
Vmn1r85	ENSMUSG00000070817	7	13095173	13083313	-
Vmn1r86	ENSMUSG00000070816	7	13119917	13097531	-
Vmn1r87	ENSMUSG00000070815	7	13140157	13130904	-
Gm38947	ENSMUSG00000110365	7	13197215	13192117	-
Zswim9	ENSMUSG00000070814	7	13278721	13258967	-
Bsph2	ENSMUSG00000078800	7	13571067	13554864	-
Sult2a1	ENSMUSG00000078798	7	13837409	13796246	-
Sult2a4	ENSMUSG00000074377	7	13989607	13909676	-
Sult2a3	ENSMUSG00000074375	7	14123044	14067446	-
Sult2a6	ENSMUSG00000070810	7	14254870	14222403	-
Obox8	ENSMUSG00000099216	7	14333557	14331436	-
Sult2a8	ENSMUSG00000030378	7	14446769	14410686	-
Sult2a7	ENSMUSG00000094156	7	14494230	14465051	-
Vmn1r90	ENSMUSG00000100586	7	14563506	14555474	-
Obox3	ENSMUSG00000066772	7	15639902	15479825	-
Obox4-ps35	ENSMUSG00000092576	7	15825815	15820167	-
Obox6	ENSMUSG00000041583	7	15839678	15833241	-
Crx	ENSMUSG00000041578	7	15879968	15865947	-
Selenow	ENSMUSG00000041571	7	15922402	15917208	-
Nop53	ENSMUSG00000041560	7	15946074	15936183	-
Ehd2	ENSMUSG00000074364	7	15967567	15946958	-
Bicra	ENSMUSG00000070808	7	16047921	15970672	-
Dhx34	ENSMUSG00000006019	7	16222037	16197147	-
C5ar2	ENSMUSG00000074361	7	16244154	16234585	-
C5ar1	ENSMUSG00000049130	7	16259540	16246743	-
Inafm1	ENSMUSG00000091811	7	16273617	16272013	-
Ccdc9	ENSMUSG00000041375	7	16286795	16274042	-
Sae1	ENSMUSG00000052833	7	16387806	16320234	-
Gm45509	ENSMUSG00000109781	7	16407983	16406755	-
Gm45510	ENSMUSG00000109647	7	16416621	16413908	-
Npas1	ENSMUSG00000001988	7	16477728	16455721	-
Arhgap35	ENSMUSG00000058230	7	16614993	16493719	-
Gm29442	ENSMUSG00000101008	7	16619832	16618627	-
Ceacam15	ENSMUSG00000078795	7	16675705	16671331	-
Fkrp	ENSMUSG00000048920	7	16816732	16809246	-
9330104G04Rik	ENSMUSG00000097842	7	16874886	16871347	-
Calm3	ENSMUSG00000019370	7	16924114	16915379	-
Ppp5c	ENSMUSG00000003099	7	17027924	17004640	-
Hif3a	ENSMUSG00000004328	7	17062427	17031507	-
Gm32772	ENSMUSG00000108782	7	17371627	17287678	-
Gm32846	ENSMUSG00000108441	7	17424099	17392760	-
Gm44613	ENSMUSG00000108545	7	18186952	18074016	-
Psg18	ENSMUSG00000003505	7	18355009	18345422	-
Psg28	ENSMUSG00000030373	7	18432041	18422536	-
Psg26	ENSMUSG00000070799	7	18484177	18474582	-
Psg25	ENSMUSG00000070798	7	18532269	18519702	-
Psg27	ENSMUSG00000070797	7	18567305	18556514	-
Psg23	ENSMUSG00000074359	7	18616501	18606343	-
Psg21	ENSMUSG00000070796	7	18656725	18646736	-
Psg20	ENSMUSG00000063305	7	18686185	18674107	-
Psg19	ENSMUSG00000004542	7	18798520	18789567	-
Psg17	ENSMUSG00000004540	7	18821607	18813937	-
Ccdc61	ENSMUSG00000074358	7	18910415	18890883	-
Gm45058	ENSMUSG00000108428	7	18988324	18987559	-
Mypopos	ENSMUSG00000086533	7	19001222	18993234	-
Foxa3	ENSMUSG00000040891	7	19023538	19013284	-
Gm4969	ENSMUSG00000085601	7	19118368	19099046	-
Qpctl	ENSMUSG00000030407	7	19149291	19139702	-
Gipr	ENSMUSG00000030406	7	19166127	19156061	-
Vasp	ENSMUSG00000030403	7	19271817	19256929	-
Ppm1n	ENSMUSG00000030402	7	19280064	19276805	-
Gm26802	ENSMUSG00000097266	7	19300770	19298260	-
Fosb	ENSMUSG00000003545	7	19310051	19302696	-
D830036C21Rik	ENSMUSG00000108854	7	19342515	19320117	-
Cd3eap	ENSMUSG00000047649	7	19359483	19356014	-
Gm26852	ENSMUSG00000097231	7	19392718	19382220	-
Klc3	ENSMUSG00000040714	7	19404104	19394437	-
A930016O22Rik	ENSMUSG00000040705	7	19421417	19417466	-
Mark4	ENSMUSG00000030397	7	19458821	19424775	-
Bloc1s3	ENSMUSG00000057667	7	19508367	19504486	-
Ppp1r37	ENSMUSG00000051403	7	19563076	19530800	-
Gemin7	ENSMUSG00000044709	7	19577595	19564946	-
Clasrp	ENSMUSG00000061028	7	19604486	19581035	-
Relb	ENSMUSG00000002983	7	19629438	19606217	-
Clptm1	ENSMUSG00000002981	7	19665033	19631571	-
Apoc2	ENSMUSG00000002992	7	19677941	19671579	-
Apoc4	ENSMUSG00000074336	7	19681479	19678083	-
Apoc1	ENSMUSG00000040564	7	19692660	19689481	-
Apoe	ENSMUSG00000002985	7	19699188	19696109	-
Tomm40	ENSMUSG00000002984	7	19715438	19701313	-
Nectin2	ENSMUSG00000062300	7	19750483	19716644	-
Bcam	ENSMUSG00000002980	7	19771016	19756131	-
Cblc	ENSMUSG00000040525	7	19796809	19778881	-
Bcl3	ENSMUSG00000053175	7	19822770	19808462	-
Ceacam16	ENSMUSG00000014686	7	19861299	19852097	-
Gm44659	ENSMUSG00000109214	7	19871438	19868121	-
Ceacam19	ENSMUSG00000049848	7	19887965	19875742	-
Pvr	ENSMUSG00000040511	7	19921160	19903578	-
Igsf23	ENSMUSG00000040498	7	19950756	19937305	-
Gm16442	ENSMUSG00000096152	7	20122579	20121656	-
Vmn1r93	ENSMUSG00000096164	7	20139088	20138123	-
Vmn1r94	ENSMUSG00000094011	7	20168377	20167460	-
Gm6164	ENSMUSG00000094298	7	20205607	20204684	-
Gm4498	ENSMUSG00000094757	7	20233828	20232908	-
Gm5890	ENSMUSG00000109166	7	20262834	20260451	-
Gm4133	ENSMUSG00000095745	7	20334065	20333142	-
Gm5728	ENSMUSG00000095806	7	20375410	20374493	-
Vmn1r101	ENSMUSG00000094545	7	20442593	20441670	-
Gm10670	ENSMUSG00000094762	7	20474925	20473960	-
Vmn1r103	ENSMUSG00000096663	7	20510534	20509617	-
Gm5726	ENSMUSG00000096761	7	20545757	20544834	-
Gm4141	ENSMUSG00000095837	7	20576241	20575321	-
Gm4513	ENSMUSG00000109060	7	20599021	20593051	-
Vmn1r111	ENSMUSG00000095768	7	20703216	20702296	-
Gm10668	ENSMUSG00000095190	7	20730624	20724525	-
Vmn1r114	ENSMUSG00000094085	7	20812186	20811221	-
Vmn1r115	ENSMUSG00000091435	7	20844985	20844098	-
Vmn1r117	ENSMUSG00000096737	7	20884121	20883198	-
Vmn1r118	ENSMUSG00000094589	7	20912347	20911427	-
Vmn1r119	ENSMUSG00000094010	7	21012455	21011532	-
Vmn1r120	ENSMUSG00000093986	7	21053784	21052867	-
Vmn1r121	ENSMUSG00000094680	7	21098513	21097569	-
Vmn1r122	ENSMUSG00000094001	7	21134128	21133211	-
Gm5157	ENSMUSG00000101436	7	21190423	21184317	-
Vmn1r124	ENSMUSG00000094221	7	21260617	21259694	-
Vmn1r126	ENSMUSG00000096813	7	21301467	21300502	-
Vmn1r127	ENSMUSG00000093890	7	21319861	21318944	-
Vmn1r129	ENSMUSG00000094879	7	21361291	21360368	-
Gm6882	ENSMUSG00000109516	7	21432745	21425858	-
Vmn1r131	ENSMUSG00000093941	7	21546090	21545170	-
Gm4175	ENSMUSG00000096513	7	21761475	21760531	-
Gm4177	ENSMUSG00000096760	7	21796728	21795811	-
Gm5725	ENSMUSG00000095191	7	21844267	21843344	-
Gm5891	ENSMUSG00000095976	7	21921291	21908665	-
Vmn1r138	ENSMUSG00000095163	7	22028897	22027977	-
Gm6176	ENSMUSG00000096283	7	22056305	22050205	-
Gm16451	ENSMUSG00000096304	7	22118245	22117322	-
Gm10666	ENSMUSG00000096348	7	22134741	22133776	-
Vmn1r142	ENSMUSG00000095273	7	22164035	22163118	-
Gm8653	ENSMUSG00000094981	7	22201264	22200341	-
Gm8453	ENSMUSG00000094149	7	22229484	22228564	-
Gm4187	ENSMUSG00000093871	7	22329717	22328794	-
Gm8660	ENSMUSG00000093917	7	22371039	22370122	-
Vmn1r149	ENSMUSG00000094542	7	22438229	22437306	-
Gm10665	ENSMUSG00000096871	7	22464075	22463110	-
Vmn1r151	ENSMUSG00000093853	7	22499678	22498761	-
Gm8677	ENSMUSG00000094748	7	22534887	22533964	-
Gm4201	ENSMUSG00000095984	7	22565343	22564423	-
Gm4565	ENSMUSG00000109396	7	22588127	22582158	-
Gm8693	ENSMUSG00000095081	7	22692317	22691397	-
Gm4567	ENSMUSG00000095363	7	22719710	22713611	-
Vmn1r158	ENSMUSG00000094700	7	22790782	22789859	-
Vmn1r159	ENSMUSG00000095931	7	22843605	22842688	-
Gm4214	ENSMUSG00000092297	7	22984673	22983714	-
Gm4216	ENSMUSG00000094532	7	23019923	23019006	-
Gm8720	ENSMUSG00000096601	7	23067456	23066533	-
Gm10662	ENSMUSG00000095683	7	23144480	23131854	-
Vmn1r166	ENSMUSG00000096073	7	23251682	23250762	-
Gm6902	ENSMUSG00000094682	7	23278900	23272801	-
Vmn1r167	ENSMUSG00000090715	7	23507206	23503646	-
Vmn1r175	ENSMUSG00000095632	7	23810643	23807182	-
Vmn1r176	ENSMUSG00000096859	7	23837372	23833840	-
Vmn1r177	ENSMUSG00000057513	7	23866449	23865520	-
Gm36694	ENSMUSG00000108613	7	24073164	24054232	-
Gm44793	ENSMUSG00000108703	7	24116600	24112454	-
Zfp111	ENSMUSG00000087598	7	24211443	24193947	-
Zfp109	ENSMUSG00000074283	7	24237560	24227572	-
Zfp61	ENSMUSG00000050605	7	24301232	24291039	-
Zfp94	ENSMUSG00000074282	7	24316666	24301704	-
Tescl	ENSMUSG00000055826	7	24333936	24333082	-
Irgc1	ENSMUSG00000062028	7	24452297	24431922	-
Gm50092	ENSMUSG00000117477	7	24512455	24510483	-
Pinlyp	ENSMUSG00000011632	7	24546118	24541658	-
Zfp575	ENSMUSG00000066721	7	24587641	24583838	-
Gm26550	ENSMUSG00000097215	7	24637916	24631145	-
Tex101	ENSMUSG00000062773	7	24676675	24668007	-
Lypd11	ENSMUSG00000058717	7	24726908	24715023	-
Cd177	ENSMUSG00000052212	7	24760311	24743983	-
Lypd4	ENSMUSG00000062732	7	24869941	24864620	-
Gm4881	ENSMUSG00000108367	7	24944494	24927445	-
Rabac1	ENSMUSG00000003380	7	24972754	24969752	-
Atp1a3	ENSMUSG00000040907	7	25005958	24978167	-
Grik5	ENSMUSG00000003378	7	25072346	25009849	-
Pou2f2	ENSMUSG00000008496	7	25179726	25087344	-
Dedd2	ENSMUSG00000054499	7	25220615	25199915	-
Gsk3a	ENSMUSG00000057177	7	25237851	25228258	-
Erf	ENSMUSG00000040857	7	25250761	25242561	-
Pafah1b3	ENSMUSG00000005447	7	25297986	25295049	-
Cnfn	ENSMUSG00000063651	7	25369724	25367620	-
Lipe	ENSMUSG00000003123	7	25398710	25379527	-
Cxcl17	ENSMUSG00000060188	7	25412886	25400053	-
Ceacam1	ENSMUSG00000074272	7	25477603	25461707	-
Ceacam2	ENSMUSG00000054385	7	25539857	25516042	-
Gm29918	ENSMUSG00000108579	7	25577798	25577074	-
Erich4	ENSMUSG00000074261	7	25615892	25614620	-
Bckdha	ENSMUSG00000060376	7	25658981	25629946	-
Tmem91	ENSMUSG00000061702	7	25675166	25669139	-
Ccdc97	ENSMUSG00000002608	7	25719088	25711106	-
Hnrnpul1	ENSMUSG00000040725	7	25754757	25721165	-
Axl	ENSMUSG00000002602	7	25788705	25757273	-
Cyp2s1	ENSMUSG00000040703	7	25816913	25802475	-
Gm42375	ENSMUSG00000108431	7	26307286	26304421	-
Nlrp9c	ENSMUSG00000040614	7	26403700	26322473	-
Vmn1r185	ENSMUSG00000091924	7	26618464	26607636	-
Cyp2b23	ENSMUSG00000040650	7	26686437	26665227	-
Cyp2a22	ENSMUSG00000091867	7	26939384	26931631	-
Gm15883	ENSMUSG00000086868	7	27130674	27124481	-
Egln2	ENSMUSG00000058709	7	27166802	27158658	-
Rab4b	ENSMUSG00000053291	7	27178896	27168424	-
Mia	ENSMUSG00000089661	7	27181157	27179742	-
Snrpa	ENSMUSG00000061479	7	27196271	27187005	-
Itpkc	ENSMUSG00000003752	7	27228661	27207172	-
Gm15567	ENSMUSG00000084974	7	27257932	27249263	-
Ltbp4	ENSMUSG00000040488	7	27337692	27305136	-
Shkbp1	ENSMUSG00000089832	7	27356019	27342133	-
Sptbn4	ENSMUSG00000011751	7	27447686	27356383	-
Gm15541	ENSMUSG00000087371	7	27508122	27502718	-
Pld3	ENSMUSG00000003363	7	27553218	27532000	-
Gm38973	ENSMUSG00000108592	7	27651059	27649426	-
Map3k10	ENSMUSG00000040390	7	27674598	27656375	-
Gm44684	ENSMUSG00000108520	7	27677844	27674659	-
Zfp974	ENSMUSG00000070709	7	27929460	27907392	-
Zfp780b	ENSMUSG00000063047	7	27979171	27959135	-
Zfp850	ENSMUSG00000096916	7	28014115	27984854	-
Psmc4	ENSMUSG00000030603	7	28050101	28041707	-
Selenov	ENSMUSG00000046750	7	28291186	28284652	-
Dll3	ENSMUSG00000003436	7	28302238	28293553	-
Timm50	ENSMUSG00000003438	7	28312072	28305516	-
Supt5	ENSMUSG00000003435	7	28338746	28314891	-
Plekhg2	ENSMUSG00000037552	7	28372599	28359604	-
Zfp36	ENSMUSG00000044786	7	28380253	28376784	-
Med29	ENSMUSG00000003444	7	28392708	28386146	-
Samd4b	ENSMUSG00000109336	7	28598144	28399522	-
Ifnl2	ENSMUSG00000059128	7	28510455	28508836	-
Nccrp1	ENSMUSG00000047586	7	28547254	28543596	-
Pak4	ENSMUSG00000030602	7	28598185	28558819	-
Acp7	ENSMUSG00000037469	7	28631332	28607276	-
Mrps12	ENSMUSG00000045948	7	28741820	28739641	-
Nfkbib	ENSMUSG00000030595	7	28767512	28758251	-
Gm44702	ENSMUSG00000109420	7	28810497	28809304	-
Gm10648	ENSMUSG00000108930	7	28876331	28859587	-
Gm44700	ENSMUSG00000109307	7	28888483	28887127	-
Actn4	ENSMUSG00000054808	7	28962340	28893248	-
Gm44699	ENSMUSG00000109314	7	28943528	28920951	-
Eif3k	ENSMUSG00000053565	7	28981864	28971372	-
Ryr1	ENSMUSG00000030592	7	29125179	29003344	-
Gm16282	ENSMUSG00000090009	7	29140312	29138440	-
Fam98c	ENSMUSG00000030590	7	29156234	29152510	-
Spred3	ENSMUSG00000037239	7	29170411	29158829	-
Psmd8	ENSMUSG00000030591	7	29180701	29174188	-
Catsperg1	ENSMUSG00000049676	7	29214035	29181321	-
Kcnk6	ENSMUSG00000046410	7	29232515	29221926	-
2200002D01Rik	ENSMUSG00000030587	7	29248466	29246561	-
Spint2	ENSMUSG00000074227	7	29281912	29256323	-
Gm44632	ENSMUSG00000109351	7	29319402	29316770	-
Sipa1l3	ENSMUSG00000030583	7	29518641	29320372	-
Gm29326	ENSMUSG00000100400	7	29562815	29560365	-
A330087D11Rik	ENSMUSG00000100111	7	29573928	29568903	-
Catsperg2	ENSMUSG00000049123	7	29727032	29697219	-
Zfp940	ENSMUSG00000050855	7	29853669	29833620	-
Zfp27	ENSMUSG00000062040	7	29906572	29893333	-
Zfp74	ENSMUSG00000059975	7	29954089	29930815	-
Zfp14	ENSMUSG00000053985	7	30051380	30036359	-
Zfp82	ENSMUSG00000098022	7	30072900	30054489	-
Zfp566	ENSMUSG00000078768	7	30090527	30077337	-
Zfp146	ENSMUSG00000037029	7	30169750	30161269	-
Capns1	ENSMUSG00000001794	7	30198811	30186936	-
Tbcb	ENSMUSG00000006095	7	30232272	30224131	-
Ovol3	ENSMUSG00000100512	7	30235725	30233439	-
Wdr62	ENSMUSG00000037020	7	30280419	30240138	-
Sdhaf1	ENSMUSG00000074211	7	30323895	30321406	-
4930479H17Rik	ENSMUSG00000109049	7	30353321	30347645	-
Lrfn3	ENSMUSG00000036957	7	30362772	30355489	-
Hcst	ENSMUSG00000064109	7	30419854	30417712	-
Aplp1	ENSMUSG00000006651	7	30445535	30434982	-
Kirrel2	ENSMUSG00000036915	7	30457690	30447534	-
Nphs1os	ENSMUSG00000087009	7	30465591	30462164	-
Arhgap33	ENSMUSG00000036882	7	30535060	30522226	-
Proser3	ENSMUSG00000036864	7	30552299	30539134	-
Lin37	ENSMUSG00000036845	7	30559838	30555441	-
Psenen	ENSMUSG00000036835	7	30563627	30561863	-
Kmt2b	ENSMUSG00000006307	7	30588726	30568858	-
Zbtb32	ENSMUSG00000006310	7	30598909	30589681	-
Upk1a	ENSMUSG00000006313	7	30612847	30603092	-
Cox6b1	ENSMUSG00000036751	7	30626151	30616861	-
Etv2	ENSMUSG00000006311	7	30635852	30633616	-
Rbm42	ENSMUSG00000036733	7	30650317	30640999	-
Haus5	ENSMUSG00000078762	7	30664994	30653711	-
Pmis2	ENSMUSG00000049761	7	30671605	30670722	-
Tmem147	ENSMUSG00000006315	7	30729540	30727701	-
Gapdhs	ENSMUSG00000061099	7	30743681	30729775	-
Ffar2	ENSMUSG00000051314	7	30823775	30818348	-
Ffar3	ENSMUSG00000019429	7	30856178	30854330	-
Ffar1	ENSMUSG00000044453	7	30861564	30857390	-
Cd22	ENSMUSG00000030577	7	30880342	30865402	-
Mag	ENSMUSG00000036634	7	30914873	30899176	-
Hamp2	ENSMUSG00000056978	7	30924681	30922372	-
Hamp	ENSMUSG00000050440	7	30944032	30942368	-
Usf2	ENSMUSG00000058239	7	30956803	30945248	-
Lsr	ENSMUSG00000001247	7	30973464	30957770	-
Fxyd5	ENSMUSG00000009687	7	31042481	31032722	-
Fxyd7	ENSMUSG00000036578	7	31051467	31042513	-
Fxyd1	ENSMUSG00000036570	7	31057199	31051678	-
Fxyd3	ENSMUSG00000057092	7	31076704	31068172	-
Hpn	ENSMUSG00000001249	7	31115290	31098725	-
Scn1b	ENSMUSG00000019194	7	31127003	31116524	-
Gramd1a	ENSMUSG00000001248	7	31155896	31130127	-
Scgb1b2	ENSMUSG00000062556	7	31291821	31290519	-
Scgb2b3	ENSMUSG00000078754	7	31362072	31359038	-
Scgb2b7	ENSMUSG00000094053	7	31705757	31703779	-
Scgb2b11	ENSMUSG00000099729	7	32211145	32209173	-
Scgb2b12	ENSMUSG00000097982	7	32327245	32325286	-
Scgb2b15	ENSMUSG00000097972	7	32829662	32827683	-
Scgb2b17	ENSMUSG00000098094	7	33056561	33054582	-
Scgb2b18	ENSMUSG00000100058	7	33173864	33171892	-
Scgb2b19	ENSMUSG00000096467	7	33280338	33278370	-
Scgb2b20	ENSMUSG00000094305	7	33366322	33364343	-
Scgb2b21	ENSMUSG00000099900	7	33520458	33518481	-
Scgb2b24	ENSMUSG00000046438	7	33739312	33737190	-
Scgb2b26	ENSMUSG00000066586	7	33945040	33943002	-
Scgb2b27	ENSMUSG00000066584	7	34013942	34011921	-
Wtip	ENSMUSG00000036459	7	34133268	34109543	-
Uba2	ENSMUSG00000052997	7	34169599	34140688	-
Pdcd2l	ENSMUSG00000002635	7	34196661	34184499	-
Gpi1	ENSMUSG00000036427	7	34230336	34201330	-
Gm12762	ENSMUSG00000086526	7	34234102	34230420	-
4931406P16Rik	ENSMUSG00000066571	7	34313551	34236707	-
Lsm14a	ENSMUSG00000066568	7	34393315	34344646	-
Gm44837	ENSMUSG00000108723	7	34637712	34636996	-
Kctd15	ENSMUSG00000030499	7	34656732	34639014	-
Gm12756	ENSMUSG00000087127	7	34673999	34665413	-
Chst8	ENSMUSG00000060402	7	34812711	34674468	-
Cebpg	ENSMUSG00000056216	7	35056573	35046422	-
Gm44836	ENSMUSG00000108486	7	35052537	35051398	-
Gm45096	ENSMUSG00000108739	7	35066733	35057264	-
Gm45091	ENSMUSG00000108624	7	35119605	35118044	-
Gm35665	ENSMUSG00000108575	7	35141449	35135046	-
Lrp3	ENSMUSG00000001802	7	35215498	35200027	-
AC150683.1	ENSMUSG00000118454	7	35275533	35238791	-
Gpatch1	ENSMUSG00000063808	7	35318440	35276536	-
Faap24	ENSMUSG00000030493	7	35396836	35392152	-
Tdrd12	ENSMUSG00000030491	7	35537745	35469098	-
Nudt19	ENSMUSG00000034875	7	35556304	35547185	-
Rgs9bp	ENSMUSG00000056043	7	35585582	35578993	-
Pdcd5	ENSMUSG00000030417	7	35647521	35641982	-
Dpy19l3	ENSMUSG00000043671	7	35754454	35685165	-
Zfp507	ENSMUSG00000044452	7	35803003	35772343	-
Gm28078	ENSMUSG00000101342	7	37128692	37119993	-
Gm28076	ENSMUSG00000100616	7	37140382	37137011	-
Zfp536	ENSMUSG00000043456	7	37773641	37318024	-
Uri1	ENSMUSG00000030421	7	38023551	37959992	-
Gm30684	ENSMUSG00000108726	7	38061700	38050147	-
Ccne1	ENSMUSG00000002068	7	38107534	38097984	-
D530033B14Rik	ENSMUSG00000108332	7	38196457	38182563	-
Plekhf1	ENSMUSG00000074170	7	38228016	38216972	-
Pop4	ENSMUSG00000030423	7	38271423	38261996	-
Gm5591	ENSMUSG00000060565	7	38528193	38518139	-
Gm5114	ENSMUSG00000053742	7	39413160	39407294	-
Gm45839	ENSMUSG00000110135	7	39797686	39788086	-
4930558N11Rik	ENSMUSG00000100431	7	39797742	39790967	-
Gm44992	ENSMUSG00000109083	7	39978319	39869131	-
Gm28807	ENSMUSG00000100650	7	40469240	40373302	-
A230077H06Rik	ENSMUSG00000100600	7	40900937	40818476	-
Gm38997	ENSMUSG00000108364	7	41032619	41012039	-
1700110I07Rik	ENSMUSG00000108490	7	41089843	41060617	-
Gm44839	ENSMUSG00000108619	7	41078025	41077625	-
Gm44748	ENSMUSG00000108754	7	41284220	41128646	-
Gm34811	ENSMUSG00000108395	7	41209904	41209259	-
AI987944	ENSMUSG00000056383	7	41393379	41372923	-
Vmn2r57	ENSMUSG00000066537	7	41448696	41395945	-
AW146154	ENSMUSG00000074166	7	41499890	41478874	-
Gm6871	ENSMUSG00000090744	7	41573662	41545674	-
Vmn2r58	ENSMUSG00000090383	7	41872712	41835814	-
Vmn2r59	ENSMUSG00000092032	7	42059023	42011284	-
4933421I07Rik	ENSMUSG00000030463	7	42448120	42445462	-
Zfp141	ENSMUSG00000092416	7	42505740	42473386	-
Gm44997	ENSMUSG00000108446	7	42578235	42561414	-
Gm21028	ENSMUSG00000094462	7	42578588	42578466	-
Zfp977	ENSMUSG00000092335	7	42592547	42579783	-
Zfp976	ENSMUSG00000074158	7	42642588	42609526	-
Zfp975	ENSMUSG00000069727	7	42692742	42660105	-
Gm17067	ENSMUSG00000091594	7	42727017	42705469	-
Vmn2r62	ENSMUSG00000091926	7	42793525	42764055	-
Gm2381	ENSMUSG00000092225	7	42867234	42816829	-
Vmn2r63	ENSMUSG00000090751	7	42933822	42896711	-
Zfp715	ENSMUSG00000012640	7	43313294	43296197	-
Iglon5	ENSMUSG00000013367	7	43490075	43472904	-
4931406B18Rik	ENSMUSG00000013353	7	43505940	43492044	-
Gm2511	ENSMUSG00000108695	7	43518970	43511165	-
Cd33	ENSMUSG00000004609	7	43544428	43524216	-
Siglece	ENSMUSG00000030474	7	43660161	43651070	-
Gm36546	ENSMUSG00000108783	7	43671314	43670841	-
2310002F09Rik	ENSMUSG00000097178	7	43797958	43695209	-
Gm44707	ENSMUSG00000108781	7	43857413	43856086	-
Gm44756	ENSMUSG00000108432	7	43976573	43938057	-
1700028J19Rik	ENSMUSG00000038782	7	44246695	44229811	-
Acp4	ENSMUSG00000012777	7	44257378	44252148	-
Clec11a	ENSMUSG00000004473	7	44306902	44302687	-
1700008O03Rik	ENSMUSG00000008028	7	44385820	44360043	-
Emc10	ENSMUSG00000008140	7	44496529	44489937	-
Mybpc2	ENSMUSG00000038670	7	44524656	44501699	-
Spib	ENSMUSG00000008193	7	44532071	44525993	-
Pold1	ENSMUSG00000038644	7	44548849	44532746	-
Nr1h2	ENSMUSG00000060601	7	44553951	44549616	-
Gm15396	ENSMUSG00000109491	7	44590624	44579968	-
Gm44832	ENSMUSG00000108832	7	44595879	44593577	-
Myh14	ENSMUSG00000030739	7	44670843	44605803	-
Zfp473	ENSMUSG00000048012	7	44751050	44731480	-
Atf5	ENSMUSG00000038539	7	44816658	44812256	-
Tbc1d17	ENSMUSG00000038520	7	44849079	44834623	-
Ptov1	ENSMUSG00000038502	7	44869788	44863067	-
Med25	ENSMUSG00000002968	7	44892712	44876765	-
Ap2a1	ENSMUSG00000060279	7	44929496	44900373	-
Cpt1c	ENSMUSG00000007783	7	44974851	44959372	-
Prmt1	ENSMUSG00000109324	7	44986568	44975989	-
Bcl2l12	ENSMUSG00000003190	7	44998712	44991222	-
Scaf1	ENSMUSG00000038406	7	45016363	45002948	-
Prr12	ENSMUSG00000046574	7	45052881	45027563	-
Prrg2	ENSMUSG00000007837	7	45062677	45053584	-
Rcn3	ENSMUSG00000019539	7	45092221	45082913	-
Fcgrt	ENSMUSG00000003420	7	45103851	45092990	-
Rps11	ENSMUSG00000003429	7	45124439	45122379	-
Rpl13a	ENSMUSG00000074129	7	45128761	45125558	-
Flt3l	ENSMUSG00000110206	7	45136432	45129788	-
Aldh16a1	ENSMUSG00000007833	7	45154584	45140684	-
Gfy	ENSMUSG00000095276	7	45179569	45176349	-
Ccdc155	ENSMUSG00000038292	7	45204892	45183624	-
Dkkl1	ENSMUSG00000030792	7	45212147	45207519	-
Cd37	ENSMUSG00000030798	7	45239115	45233632	-
Trpm4	ENSMUSG00000038260	7	45333780	45302632	-
Ppfia3	ENSMUSG00000003863	7	45367019	45339122	-
Lin7b	ENSMUSG00000003872	7	45370583	45367891	-
Snrnp70	ENSMUSG00000063511	7	45395742	45376453	-
Ruvbl2	ENSMUSG00000003868	7	45438096	45421760	-
Ftl1	ENSMUSG00000050708	7	45459884	45457944	-
Bax	ENSMUSG00000003873	7	45466898	45461697	-
Dhdh	ENSMUSG00000011382	7	45488805	45470987	-
Nucb1	ENSMUSG00000030824	7	45510406	45490458	-
Ppp1r15a	ENSMUSG00000040435	7	45526268	45522916	-
Gm45564	ENSMUSG00000110144	7	45551615	45550534	-
0610005C13Rik	ENSMUSG00000109644	7	45575327	45567794	-
Fgf21	ENSMUSG00000030827	7	45615490	45613886	-
Gm45437	ENSMUSG00000109998	7	45633077	45630664	-
A030001D20Rik	ENSMUSG00000110357	7	45638765	45635680	-
Fut2	ENSMUSG00000055978	7	45666394	45648591	-
Sec1	ENSMUSG00000040364	7	45694402	45677686	-
Sphk2	ENSMUSG00000057342	7	45718002	45709467	-
Spaca4	ENSMUSG00000070563	7	45725813	45725107	-
Sult2b1	ENSMUSG00000003271	7	45784669	45729983	-
Cyth2	ENSMUSG00000003269	7	45814581	45806637	-
Kcnj14	ENSMUSG00000058743	7	45824782	45816460	-
Grwd1	ENSMUSG00000053801	7	45830944	45825223	-
Grin2d	ENSMUSG00000002771	7	45878378	45831883	-
Syngr4	ENSMUSG00000040231	7	45896714	45885222	-
Emp3	ENSMUSG00000040212	7	45921404	45918023	-
